[2019-11-14_09-07-56] Start program
[2019-11-14_09-08-13] Get home position
[2019-11-14_09-08-14] Get home position
[2019-11-14_09-08-14] Get home position
[2019-11-14_09-08-14] Get home position
[2019-11-14_09-08-14] Get home position
[2019-11-14_09-08-14] Get home position
[2019-11-14_09-08-14] Get home position
[2019-11-14_09-08-14] Get home position
[2019-11-14_09-08-14] Get home position
[2019-11-14_09-08-14] Get home position
[2019-11-14_09-08-14] Get home position
[2019-11-14_09-08-15] Get home position
[2019-11-14_09-08-15] Get home position
[2019-11-14_09-08-15] Get home position
[2019-11-14_09-08-15] Get home position
[2019-11-14_09-08-15] Get home position
[2019-11-14_09-08-15] Get home position
[2019-11-14_09-08-15] Get home position
[2019-11-14_09-08-15] Get home position
[2019-11-14_09-08-15] Get home position
[2019-11-14_09-08-15] Get home position
[2019-11-14_09-08-16] Get home position
[2019-11-14_09-08-16] Get home position
[2019-11-14_09-08-16] Get home position
[2019-11-14_09-08-16] Get home position
[2019-11-14_09-08-16] Get home position
[2019-11-14_09-08-16] Get home position
[2019-11-14_09-08-16] Get home position
[2019-11-14_09-08-16] Get home position
[2019-11-14_09-08-16] Get home position
[2019-11-14_09-08-16] Get home position
[2019-11-14_09-08-17] Get home position
[2019-11-14_09-08-17] Get home position
[2019-11-14_09-08-17] Get home position
[2019-11-14_09-08-17] Get home position
[2019-11-14_09-08-17] Get home position
[2019-11-14_09-08-17] Get home position
[2019-11-14_09-08-17] Get home position
[2019-11-14_09-08-17] Get home position
[2019-11-14_09-08-17] Get home position
[2019-11-14_09-08-17] Get home position
[2019-11-14_09-08-18] Get home position
[2019-11-14_09-08-18] Get home position
[2019-11-14_09-08-18] Get home position
[2019-11-14_09-08-18] Get home position
[2019-11-14_09-08-18] Get home position
[2019-11-14_09-08-18] Get home position
[2019-11-14_09-08-18] Get home position
[2019-11-14_09-08-18] Get home position
[2019-11-14_09-08-18] Get home position
[2019-11-14_09-08-19] Get home position
[2019-11-14_09-08-19] Get home position
[2019-11-14_09-08-19] Get home position
[2019-11-14_09-08-19] Get home position
[2019-11-14_09-08-19] Get home position
[2019-11-14_09-08-19] Get home position
[2019-11-14_09-08-19] Get home position
[2019-11-14_09-08-19] Get home position
[2019-11-14_09-08-19] Get home position
[2019-11-14_09-08-19] Get home position
[2019-11-14_09-08-20] Get home position
[2019-11-14_09-08-20] Get home position
[2019-11-14_09-08-20] Get home position
[2019-11-14_09-08-20] Get home position
[2019-11-14_09-08-20] Get home position
[2019-11-14_09-08-20] Get home position
[2019-11-14_09-08-20] Get home position
[2019-11-14_09-08-20] Get home position
[2019-11-14_09-08-20] Get home position
[2019-11-14_09-08-20] Get home position
[2019-11-14_09-08-21] Get home position
[2019-11-14_09-08-21] Get home position
[2019-11-14_09-08-21] Get home position
[2019-11-14_09-08-21] Get home position
[2019-11-14_09-08-21] Get home position
[2019-11-14_09-08-21] Get home position
[2019-11-14_09-08-21] Get home position
[2019-11-14_09-08-21] Get home position
[2019-11-14_09-08-21] Get home position
[2019-11-14_09-08-21] Get home position
[2019-11-14_09-08-22] Get home position
[2019-11-14_09-08-22] Get home position
[2019-11-14_09-08-22] Get home position
[2019-11-14_09-08-22] Get home position
[2019-11-14_09-08-22] Get home position
[2019-11-14_09-08-22] Get home position
[2019-11-14_09-08-22] Get home position
[2019-11-14_09-08-22] Get home position
[2019-11-14_09-08-22] Get home position
[2019-11-14_09-08-22] Get home position
[2019-11-14_09-08-23] Get home position
[2019-11-14_09-08-23] Get home position
[2019-11-14_09-08-23] Get home position
[2019-11-14_09-08-23] Get home position
[2019-11-14_09-08-23] Get home position
[2019-11-14_09-08-23] Get home position
[2019-11-14_09-08-23] Get home position
[2019-11-14_09-08-23] Get home position
[2019-11-14_09-08-23] Get home position
[2019-11-14_09-08-23] Get home position
[2019-11-14_09-08-24] Get home position
[2019-11-14_09-08-24] Get home position
[2019-11-14_09-08-24] Get home position
[2019-11-14_09-08-24] Get home position
[2019-11-14_09-08-24] Get home position
[2019-11-14_09-08-24] Get home position
[2019-11-14_09-08-24] Get home position
[2019-11-14_09-08-24] Get home position
[2019-11-14_09-08-24] Get home position
[2019-11-14_09-08-24] Get home position
[2019-11-14_09-08-25] Get home position
[2019-11-14_09-08-25] Get home position
[2019-11-14_09-08-25] Get home position
[2019-11-14_09-08-25] Get home position
[2019-11-14_09-08-25] Get home position
[2019-11-14_09-08-25] Get home position
[2019-11-14_09-08-25] Get home position
[2019-11-14_09-08-25] Get home position
[2019-11-14_09-08-25] Get home position
[2019-11-14_09-08-25] Get home position
[2019-11-14_09-08-26] Get home position
[2019-11-14_09-08-26] Get home position
[2019-11-14_09-08-26] Get home position
[2019-11-14_09-08-26] Get home position
[2019-11-14_09-08-26] Get home position
[2019-11-14_09-08-26] Get home position
[2019-11-14_09-08-26] Get home position
[2019-11-14_09-08-26] Get home position
[2019-11-14_09-08-26] Get home position
[2019-11-14_09-08-26] Get home position
[2019-11-14_09-08-27] Get home position
[2019-11-14_09-08-27] Get home position
[2019-11-14_09-08-27] Get home position
[2019-11-14_09-08-27] Get home position
[2019-11-14_09-08-27] Get home position
[2019-11-14_09-08-27] Get home position
[2019-11-14_09-08-27] Get home position
[2019-11-14_09-08-27] Get home position
[2019-11-14_09-08-27] Get home position
[2019-11-14_09-08-27] Get home position
[2019-11-14_09-08-28] Get home position
[2019-11-14_09-08-28] Get home position
[2019-11-14_09-08-28] Get home position
[2019-11-14_09-08-28] Get home position
[2019-11-14_09-08-28] Get home position
[2019-11-14_09-08-28] Get home position
[2019-11-14_09-08-28] Get home position
[2019-11-14_09-08-28] Get home position
[2019-11-14_09-08-28] Get home position
[2019-11-14_09-08-28] Get home position
[2019-11-14_09-08-29] Get home position
[2019-11-14_09-08-29] Get home position
[2019-11-14_09-08-29] Get home position
[2019-11-14_09-08-29] Get home position
[2019-11-14_09-08-29] Get home position
[2019-11-14_09-08-29] Get home position
[2019-11-14_09-08-29] Get home position
[2019-11-14_09-08-29] Get home position
[2019-11-14_09-08-29] Get home position
[2019-11-14_09-08-30] Get home position
[2019-11-14_09-08-30] Get home position
[2019-11-14_09-08-30] Get home position
[2019-11-14_09-08-30] Get home position
[2019-11-14_09-08-30] Get home position
[2019-11-14_09-08-30] Get home position
[2019-11-14_09-08-30] Get home position
[2019-11-14_09-08-30] Get home position
[2019-11-14_09-08-30] Get home position
[2019-11-14_09-08-30] Get home position
[2019-11-14_09-08-31] Get home position
[2019-11-14_09-08-31] Get home position
[2019-11-14_09-08-31] Get home position
[2019-11-14_09-08-31] Get home position
[2019-11-14_09-08-31] Get home position
[2019-11-14_09-08-31] Get home position
[2019-11-14_09-08-31] Get home position
[2019-11-14_09-08-31] Get home position
[2019-11-14_09-08-31] Get home position
[2019-11-14_09-08-31] Get home position
[2019-11-14_09-08-32] Get home position
[2019-11-14_09-08-32] Get home position
[2019-11-14_09-08-32] Get home position
[2019-11-14_09-08-32] Get home position
[2019-11-14_09-08-32] Get home position
[2019-11-14_09-08-32] Get home position
[2019-11-14_09-08-32] Get home position
[2019-11-14_09-08-32] Get home position
[2019-11-14_09-08-32] Get home position
[2019-11-14_09-08-32] Get home position
[2019-11-14_09-08-33] Get home position
[2019-11-14_09-08-33] Get home position
[2019-11-14_09-08-33] Get home position
[2019-11-14_09-08-33] Get home position
[2019-11-14_09-08-33] Get home position
[2019-11-14_09-08-33] Get home position
[2019-11-14_09-08-33] Get home position
[2019-11-14_09-08-33] Get home position
[2019-11-14_09-08-33] Get home position
[2019-11-14_09-08-33] Get home position
[2019-11-14_09-08-34] Get home position
[2019-11-14_09-08-34] Get home position
[2019-11-14_09-08-34] Get home position
[2019-11-14_09-08-34] Get home position
[2019-11-14_09-08-34] Get home position
[2019-11-14_09-08-34] Get home position
[2019-11-14_09-08-34] Get home position
[2019-11-14_09-08-34] Get home position
[2019-11-14_09-08-34] Get home position
[2019-11-14_09-08-34] Get home position
[2019-11-14_09-08-35] Get home position
[2019-11-14_09-08-35] Get home position
[2019-11-14_09-08-35] Get home position
[2019-11-14_09-08-35] Get home position
[2019-11-14_09-08-35] Get home position
[2019-11-14_09-08-35] Get home position
[2019-11-14_09-08-35] Get home position
[2019-11-14_09-08-35] Get home position
[2019-11-14_09-08-35] Get home position
[2019-11-14_09-08-35] Get home position
[2019-11-14_09-08-36] Get home position
[2019-11-14_09-08-36] Get home position
[2019-11-14_09-08-36] Get home position
[2019-11-14_09-08-36] Get home position
[2019-11-14_09-08-36] Get home position
[2019-11-14_09-08-36] Get home position
[2019-11-14_09-08-36] Get home position
[2019-11-14_09-08-36] Get home position
[2019-11-14_09-08-36] Get home position
[2019-11-14_09-08-36] Get home position
[2019-11-14_09-08-37] Program terminated
